	AGRO ID	AGRO label	AGRO definition	Agrovoc URI	Agrovoc label	KK	"suggestions, comments"	Suggested URI
47	http://purl.obolibrary.org/obo/AGRO_00000088	oil meal	An agricultural environmental material that contains ground-biomass remaining after pressing oil seeds.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	Yes		
48	http://purl.obolibrary.org/obo/AGRO_00020001	biofertilizer	"A environmental material which contains living microorganisms, which, when applied to seeds, plant surfaces, or soil, colonize the rhizosphere or the interior of the plant and promotes growth by increasing the supply or availability of primary nutrients to the host plant."	http://aims.fao.org/aos/agrovoc/c_24975	biofertilizers	Yes		
49	http://purl.obolibrary.org/obo/AGRO_00002046	NPK fertilizer	"A inorganic fertilizer that provides nitrogen, phosphorus, and potassium."	http://aims.fao.org/aos/agrovoc/c_5250	NPK fertilizers	Yes		
50	http://purl.obolibrary.org/obo/AGRO_00020007	nitrogen fertilizer	Inorganic fertilizer that contains nitrogen	http://aims.fao.org/aos/agrovoc/c_5195	nitrogen fertilizers	Yes		
51	http://purl.obolibrary.org/obo/AGRO_00020008	phosphorus fertilizer	Inorganic fertilizer that contains phosphorus	http://aims.fao.org/aos/agrovoc/c_5800	phosphate fertilizers	Yes		
52	http://purl.obolibrary.org/obo/AGRO_00020009	potassium fertilizer	Inorganic fertilizer that contains potassium	http://aims.fao.org/aos/agrovoc/c_6138	potash fertilizers	Yes		
53	http://purl.obolibrary.org/obo/AGRO_00002039	organic fertilizer	A material entity that has a fertilizer role and that is derived from animal or vegetable matter.	http://aims.fao.org/aos/agrovoc/c_4592	organic fertilizers	Yes		
54	http://purl.obolibrary.org/obo/AGRO_00002040	inorganic fertilizer	A material entity that has a fertilizer role and that is mined from mineral deposits or manufactured from synthetic compounds.	http://aims.fao.org/aos/agrovoc/c_27870	inorganic fertilizers	Yes		
55	http://purl.obolibrary.org/obo/AGRO_00000083	fish meal	An animal manure obtained by drying and grinding or otherwise treating fish or fish waste to which no other matter has been added.	http://aims.fao.org/aos/agrovoc/c_2925	fish meal	Yes		
56	http://purl.obolibrary.org/obo/AGRO_00000357	weather station	An observation post where weather conditions and meteorological data are observed and recorded and reported.	http://aims.fao.org/aos/agrovoc/c_4781	meteorological stations	Yes		
57	http://purl.obolibrary.org/obo/AGRO_00000009	irrigation source	A water body from which water is taken during an irrigation process and transported to the target of the irrigation process.	http://aims.fao.org/aos/agrovoc/c_330794	irrigation sources	Yes		
58	http://purl.obolibrary.org/obo/AGRO_00002042	vermicompost	"A compost that is the product of the decomposition process using various species of worms, usually red wigglers, white worms, and other earthworms, to create a mixture of decomposing vegetable or food waste, bedding materials, and vermicast."	http://aims.fao.org/aos/agrovoc/c_24528	vermicomposting	No	vermicomposts	http://aims.fao.org/aos/agrovoc/c_c319a4d3
